username,email,role,is_staff,is_superuser,password
admin,admin@example.com,admin,True,True,password123
fatihakhadija,zamirakaliba@gmail.com,admin,False,False,password123
rcampbell0,jeffrey08@example.com,admin,False,False,password123
user_brownstacy_0,uzamora@example.com,admin,False,False,password123
abdelazizci,chatitabdel@gmail.com,author,False,False,password123
carly918,michelleprice@example.com,author,False,False,password123
davisapril18,blackcolleen@example.net,author,False,False,password123
freemanamanda7,benjamin18@example.net,author,False,False,password123
hcopeland19,johnjordan@example.com,author,False,False,password123
lhunter12,melaniegreen@example.org,author,False,False,password123
lisa663,john48@example.org,author,False,False,password123
lisanolan5,sean83@example.org,author,False,False,password123
nathaniel132,yvonne67@example.org,author,False,False,password123
ocortez1,catherine69@example.com,author,False,False,password123
samuel784,tyler75@example.net,author,False,False,password123
tyler686,michaelsmith@example.org,author,False,False,password123
user_gutierrezwilliam_1,carl39@example.net,author,False,False,password123
user_howardelizabeth_4,garzarebecca@example.com,author,False,False,password123
user_lcross_3,mortonkevin@example.org,author,False,False,password123
user_williamsnicole_2,audreyayala@example.net,author,False,False,password123
abdelaziz,chatitnabira@gmail.com,user,False,False,password123
abdelazizfinaltest,abdelazizfinal@gmail.com,user,False,False,password123
azizchatit,abdelazizchatit@gmail.com,user,False,False,password123
brendashort11,tammyhorton@example.org,user,False,False,password123
brittany2015,qali@example.com,user,False,False,password123
chadjordan17,kristinehall@example.com,user,False,False,password123
cvalentine16,gilbertconnie@example.com,user,False,False,password123
dmartinez10,bennettchristian@example.org,user,False,False,password123
hensleyjoshua9,elizabethsteele@example.org,user,False,False,password123
jared2414,lozanogary@example.org,user,False,False,password123
jessica1713,rachellopez@example.net,user,False,False,password123
joiljvam,chatitabdelaziz@gmail.com,user,False,False,password123
user_boydkatherine_14,lloydryan@example.org,user,False,False,password123
user_fhickman_10,ymann@example.org,user,False,False,password123
user_meagan79_7,destiny93@example.com,user,False,False,password123
user_michael63_12,esmith@example.net,user,False,False,password123
user_ninaflowers_8,nsingh@example.org,user,False,False,password123
user_patricia34_6,andersonanne@example.com,user,False,False,password123
user_paula80_11,hannahporter@example.net,user,False,False,password123
user_solomonkathy_5,courtneyrobinson@example.org,user,False,False,password123
user_susan84_13,sherry40@example.org,user,False,False,password123
user_xwhite_9,dodsonmary@example.org,user,False,False,password123
